member,date,age,gender,race
UTKFace/62_0_0_20170111205342810.jpg.chip.jpg,2017-01-11,62,0,0
UTKFace/18_1_4_20170103224632313.jpg.chip.jpg,2017-01-03,18,1,4
UTKFace/35_0_1_20170117130104546.jpg.chip.jpg,2017-01-17,35,0,1
UTKFace/85_1_2_20170110183509553.jpg.chip.jpg,2017-01-10,85,1,2
UTKFace/35_1_0_20170103182449434.jpg.chip.jpg,2017-01-03,35,1,0
UTKFace/40_0_1_20170113190544049.jpg.chip.jpg,2017-01-13,40,0,1
UTKFace/26_1_2_20170116182624014.jpg.chip.jpg,2017-01-16,26,1,2
UTKFace/72_0_0_20170111210133115.jpg.chip.jpg,2017-01-11,72,0,0
UTKFace/85_1_0_20170110180123239.jpg.chip.jpg,2017-01-10,85,1,0
UTKFace/2_0_2_20161219194834811.jpg.chip.jpg,2016-12-19,2,0,2
UTKFace/2_0_0_20170109191327945.jpg.chip.jpg,2017-01-09,2,0,0
UTKFace/48_1_0_20170119192701682.jpg.chip.jpg,2017-01-19,48,1,0
UTKFace/36_1_1_20170116155035948.jpg.chip.jpg,2017-01-16,36,1,1
UTKFace/60_1_0_20170110141408280.jpg.chip.jpg,2017-01-10,60,1,0
UTKFace/39_0_2_20170104204400674.jpg.chip.jpg,2017-01-04,39,0,2
UTKFace/27_1_3_20170119194422834.jpg.chip.jpg,2017-01-19,27,1,3
UTKFace/19_1_0_20170109205400352.jpg.chip.jpg,2017-01-09,19,1,0
UTKFace/55_1_0_20170110160643438.jpg.chip.jpg,2017-01-10,55,1,0
UTKFace/88_0_2_20170112222049576.jpg.chip.jpg,2017-01-12,88,0,2
UTKFace/13_0_0_20170104012320089.jpg.chip.jpg,2017-01-04,13,0,0
UTKFace/26_0_0_20170120134634767.jpg.chip.jpg,2017-01-20,26,0,0
UTKFace/38_0_2_20170120220104632.jpg.chip.jpg,2017-01-20,38,0,2
UTKFace/62_1_2_20170116191832323.jpg.chip.jpg,2017-01-16,62,1,2
UTKFace/50_0_0_20170117182140781.jpg.chip.jpg,2017-01-17,50,0,0
UTKFace/1_1_1_20170109194534193.jpg.chip.jpg,2017-01-09,1,1,1
UTKFace/65_0_1_20170117190534925.jpg.chip.jpg,2017-01-17,65,0,1
UTKFace/49_1_0_20170105173102837.jpg.chip.jpg,2017-01-05,49,1,0
UTKFace/49_1_0_20170104184759926.jpg.chip.jpg,2017-01-04,49,1,0
UTKFace/25_1_4_20170103233749355.jpg.chip.jpg,2017-01-03,25,1,4
UTKFace/17_0_0_20170110232027271.jpg.chip.jpg,2017-01-10,17,0,0
